City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Alofi,NU,-19.0595,-169.9187,75.09,94,82,1.14,broken clouds
79,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,94,75,8.05,light intensity drizzle
80,Pudozh,RU,61.8099,36.5345,25.48,92,99,9.26,overcast clouds
81,Cockburn Town,TC,21.4612,-71.1419,78.42,74,1,15.99,clear sky
82,Barrow,US,71.2906,-156.7887,-0.38,71,1,12.66,clear sky
83,Saskylakh,RU,71.9167,114.0833,-8.99,94,100,14.92,overcast clouds
84,Upernavik,GL,72.7868,-56.1549,10.72,90,100,4.59,overcast clouds
85,Ribeira Grande,PT,38.5167,-28.7,57.6,67,20,13.8,few clouds
86,Takoradi,GH,4.8845,-1.7554,85.15,64,4,5.28,clear sky
87,Avarua,CK,-21.2078,-159.775,77.05,94,50,3.44,scattered clouds
88,Charters Towers,AU,-20.1,146.2667,87.31,51,19,15.48,few clouds
89,Butaritari,KI,3.0707,172.7902,82.74,76,100,14.52,overcast clouds
90,Nyaunglebin,MM,17.95,96.7333,86.74,41,10,2.1,clear sky
91,Flin Flon,CA,54.7682,-101.865,-19.77,95,77,6.6,broken clouds
92,Olinda,BR,-8.0089,-34.8553,80.33,78,40,3.44,scattered clouds
93,Kapaa,US,22.0752,-159.319,70.12,80,20,6.91,few clouds
94,Rabo De Peixe,PT,37.8,-25.5833,58.28,100,75,18.41,broken clouds
95,Cherskiy,RU,68.75,161.3,-17.75,100,75,0.83,broken clouds
96,Bredasdorp,ZA,-34.5322,20.0403,77.29,56,99,19.57,overcast clouds
97,Talnakh,RU,69.4865,88.3972,-16.8,95,100,11.12,overcast clouds
98,Lazaro Cardenas,MX,17.9583,-102.2,76.75,74,82,1.72,broken clouds
99,Mukhen,RU,48.1,136.1,-11.52,99,75,3.24,broken clouds
100,Lufilufi,WS,-13.8745,-171.5986,78.58,72,47,5.64,light rain
101,Muisne,EC,0.6,-80.0333,74.55,85,100,5.21,overcast clouds
102,Aswan,EG,24.0934,32.907,67.3,45,92,11.5,overcast clouds
103,Ortakoy,TR,38.7373,34.0387,48.45,61,4,7.49,clear sky
104,Kharabali,RU,47.4196,47.2568,39.69,84,100,15.7,overcast clouds
105,Inyonga,TZ,-6.7167,32.0667,81.46,52,100,2.93,overcast clouds
106,Ancud,CL,-41.8697,-73.8203,51.33,90,4,2.26,clear sky
107,Polonnaruwa,LK,7.9333,81.0,82.27,75,77,10.58,broken clouds
108,Penzance,GB,50.1186,-5.5371,48.88,76,40,27.63,moderate rain
109,Zanjan,IR,36.6736,48.4787,42.49,33,0,4.61,clear sky
110,Roald,NO,62.5833,6.1333,31.08,93,20,10.36,few clouds
111,Jamestown,US,42.097,-79.2353,22.32,78,90,15.01,light snow
112,Muros,ES,42.7762,-9.0603,51.84,96,93,3.22,overcast clouds
113,Pakenham,AU,-38.0667,145.4833,80.74,96,100,2.3,overcast clouds
114,Bulolo,PG,-7.2,146.65,71.87,93,100,2.91,moderate rain
115,Filimonovo,RU,56.2011,95.4611,15.58,92,100,5.26,overcast clouds
116,Benghazi,LY,32.1167,20.0667,61.23,51,54,17.63,broken clouds
117,Victoria,HK,22.2855,114.1577,74.17,80,53,5.01,broken clouds
118,Port Hedland,AU,-20.3167,118.5667,89.65,70,13,17.27,few clouds
119,Faanui,PF,-16.4833,-151.75,81.36,71,38,5.14,scattered clouds
120,Raudeberg,NO,61.9875,5.1352,30.87,86,45,5.01,scattered clouds
121,Asau,RO,46.4333,26.4,42.96,86,100,1.07,overcast clouds
122,Biltine,TD,14.5333,20.9167,84.99,14,59,3.51,broken clouds
123,Koslan,RU,63.4564,48.8989,6.58,86,100,10.22,overcast clouds
124,Keetmanshoop,NA,-26.5833,18.1333,87.12,18,0,7.81,clear sky
125,Arman,RU,59.7,150.1667,12.58,83,100,8.99,overcast clouds
126,Mahebourg,MU,-20.4081,57.7,86.29,70,40,18.41,light rain
127,Mareeba,AU,-17.0,145.4333,83.48,83,44,1.5,light rain
128,Tual,ID,-5.6667,132.75,83.59,75,100,14.45,overcast clouds
129,Korla,CN,41.7597,86.1469,30.6,39,100,3.29,overcast clouds
130,Mar Del Plata,AR,-38.0023,-57.5575,63.09,76,0,5.01,clear sky
131,Kloulklubed,PW,7.0419,134.2556,81.1,76,59,14.12,broken clouds
132,Tateyama,JP,34.9833,139.8667,35.53,87,75,6.91,shower sleet
133,Fare,PF,-16.7,-151.0167,81.12,72,10,5.68,clear sky
134,Walvis Bay,NA,-22.9575,14.5053,68.95,60,0,4.61,clear sky
135,Meulaboh,ID,4.1363,96.1285,83.3,76,34,5.88,scattered clouds
136,Saint-Philippe,RE,-21.3585,55.7679,85.55,84,98,1.01,light rain
137,Bambous Virieux,MU,-20.3428,57.7575,86.25,70,40,18.41,scattered clouds
138,Limulunga,ZM,-15.0969,23.1376,72.14,83,99,1.61,moderate rain
139,Yatou,CN,37.15,122.3833,32.25,62,2,8.77,clear sky
140,Salinas,US,36.6777,-121.6555,56.7,91,90,0.0,fog
141,Sakakah,SA,29.9697,40.2064,60.37,42,0,7.27,clear sky
142,Moerai,PF,-22.4333,-151.3333,77.32,74,57,7.76,broken clouds
143,Luderitz,NA,-26.6481,15.1594,76.62,51,0,22.57,clear sky
144,Maceio,BR,-9.6658,-35.7353,76.44,94,40,2.3,scattered clouds
145,Izumo,JP,35.3667,132.7667,44.55,81,75,10.36,broken clouds
146,Samarai,PG,-10.6167,150.6667,79.74,83,100,13.62,moderate rain
147,Chilmari,BD,25.5559,89.6715,77.04,35,4,4.5,clear sky
148,Torbay,CA,47.6666,-52.7314,42.58,89,90,26.46,overcast clouds
149,Ledyard,US,41.4398,-72.0142,41.92,87,1,9.22,clear sky
150,Kununurra,AU,-15.7667,128.7333,89.58,62,93,3.44,overcast clouds
151,Ivanovka,KG,42.8878,75.085,37.83,54,100,0.56,overcast clouds
152,Narsaq,GL,60.9167,-46.05,23.22,75,100,27.76,overcast clouds
153,Amherst,US,41.3978,-82.2224,18.01,72,90,5.01,overcast clouds
154,Rocha,UY,-34.4833,-54.3333,64.62,60,0,3.06,clear sky
155,Barmer,IN,25.75,71.3833,70.48,49,52,1.66,broken clouds
156,Auray,FR,47.6703,-2.9918,41.76,90,7,5.91,clear sky
157,Encantado,BR,-29.2361,-51.8697,68.29,100,100,2.82,overcast clouds
158,Shingu,JP,33.7333,135.9833,42.91,91,90,4.34,overcast clouds
159,Constitucion,CL,-35.3333,-72.4167,54.12,85,7,8.14,clear sky
160,Caravelas,BR,-17.7125,-39.2481,77.81,79,100,8.93,overcast clouds
161,Andilamena,MG,-17.0167,48.5833,70.34,84,100,2.19,light rain
162,Tongchuan,CN,35.0806,109.0897,36.05,70,88,5.79,overcast clouds
163,Acara,BR,-1.9608,-48.1967,72.46,98,89,2.55,overcast clouds
